date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:27	37655/37655	---M--	200	added ('OK')	image/jpeg	etag:%229317-60b4bba0b0100%22	https://preschool.dreamstechnologies.com/template/assets/img/profiles/avatar-01.jpg	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/assets/img/profiles/avatar-01.jpg	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:28	31375/31375	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/profile.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/profile.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:28	34732/34732	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/inbox.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/inbox.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:28	14577/14577	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/login.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/login.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:29	36522/36522	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/teacher-dashboard.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/teacher-dashboard.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:29	37068/37068	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/student-dashboard.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/student-dashboard.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:29	38356/38356	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/students.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/students.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:29	33717/33717	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/student-details.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/student-details.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:29	32188/32188	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/add-student.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/add-student.html	(from https://preschool.dreamstechnologies.com/template/index.html)
19:31:30	32112/32112	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2014:55:32%20GMT	https://preschool.dreamstechnologies.com/template/edit-student.html	C:/Mes%20Sites%20Web/tp1_outils_web/preschool.dreamstechnologies.com/template/edit-student.html	(from https://preschool.dreamstechnologies.com/template/index.html)
